n_subs,rank,genotype,mu_real,sigma_real
15,63,3-1-4-1-1-1-0-1-1-1-3-1-1-4-1-3,640.58563,125.457245
15,64,1-1-4-1-1-2-1-1-2-0-2-1-1-4-1-3,651.9938,136.97772
15,65,3-1-3-1-1-1-1-1-1-0-3-1-1-4-1-1,614.0161,99.09106
15,66,3-1-3-1-1-3-0-1-1-1-1-1-1-4-1-1,614.1037,99.20785
15,67,2-1-4-1-1-2-1-3-1-0-2-1-1-4-1-3,652.04114,137.72122
15,68,3-1-4-1-1-1-0-1-3-1-2-1-1-4-1-3,648.9449,134.64258
15,69,1-1-4-1-1-3-1-1-1-0-1-1-1-4-1-2,635.8718,121.952255
15,70,1-1-4-1-1-3-0-1-1-1-2-1-1-3-1-1,613.2566,99.45091
15,71,3-1-3-1-1-2-0-1-1-1-1-1-1-4-1-1,617.24567,103.8011
15,72,2-1-3-1-1-1-1-1-1-0-1-1-1-4-1-3,628.56165,115.24138
15,73,2-1-4-1-1-2-0-1-1-1-3-1-1-4-1-3,641.6387,128.32811
15,74,4-1-4-1-1-1-0-1-1-1-1-1-1-4-1-3,666.7572,154.36497
15,75,3-1-4-0-1-1-1-1-1-1-1-1-1-4-1-3,639.93976,127.769135
15,76,3-1-4-1-1-1-1-1-1-1-1-1-0-4-1-3,639.93976,127.769135
15,77,3-1-4-1-1-1-0-1-1-1-3-1-1-4-1-2,640.61884,128.84496
15,78,2-1-4-1-1-2-0-1-1-1-3-1-1-4-1-2,643.02734,131.29123
15,79,1-1-3-1-1-1-1-1-1-0-2-1-1-4-1-1,614.9429,103.26019
15,80,2-1-4-1-1-1-1-3-1-0-1-1-1-4-1-2,651.9478,140.765
15,81,2-1-4-1-1-1-0-1-3-1-1-1-1-4-1-2,651.9478,140.765
15,82,1-1-4-1-1-1-0-1-1-1-3-1-1-4-1-3,629.3369,118.265076
15,83,3-1-4-1-1-3-1-1-1-0-1-1-1-4-1-1,629.3369,118.265076
15,84,2-1-4-1-1-3-0-1-1-1-2-1-1-3-1-3,619.68146,108.70562
15,85,1-1-3-1-1-1-1-1-1-0-1-1-1-4-1-2,619.2215,108.366974
15,86,3-1-4-1-1-1-1-1-3-0-3-1-1-4-1-2,643.3258,132.47435
15,87,3-1-4-1-1-1-1-1-1-1-1-1-0-4-1-1,632.27045,121.60354
15,88,2-1-4-1-1-1-0-3-1-1-2-1-1-4-1-1,640.36597,129.78223
15,89,2-1-4-1-1-3-1-1-1-0-2-1-1-4-1-1,631.59503,121.03073
15,90,3-1-4-1-1-2-0-1-2-1-1-1-1-3-1-1,627.4603,116.98785
15,91,2-1-4-1-1-1-0-1-1-1-3-1-1-4-1-3,638.9378,128.58194
15,92,3-1-3-1-1-2-1-1-1-0-1-1-1-4-1-3,620.54974,110.41049
15,93,1-1-4-1-1-2-1-1-2-0-3-1-1-4-1-2,644.682,134.66231
15,94,1-1-4-1-1-1-1-1-1-0-1-1-1-3-1-3,613.42334,103.96735
15,95,3-1-3-1-1-2-1-1-1-0-3-1-1-4-1-1,608.1028,99.00037
15,96,3-1-4-1-1-2-1-3-1-0-1-1-1-4-1-1,635.507,126.74948
15,97,2-1-3-1-1-3-0-1-1-1-1-1-1-4-1-1,611.60803,102.98805
15,98,3-1-4-1-1-3-0-1-3-1-3-1-1-4-1-3,633.3296,124.75656
15,99,3-1-4-1-1-3-1-3-1-0-3-1-1-4-1-3,633.3296,124.75656
15,100,2-1-4-1-1-2-0-3-3-1-1-1-1-4-1-1,640.69727,132.67563
16,1,3-1-4-1-1-1-1-1-1-1-1-1-1-4-1-3,594.9848,129.32492
16,2,3-1-4-1-1-1-1-1-1-1-1-1-1-4-1-1,585.22595,120.56057
16,3,1-1-4-1-1-1-1-1-1-1-1-1-1-4-1-3,585.22595,120.56057
16,4,3-1-4-1-1-1-1-1-1-1-2-1-1-4-1-3,592.4548,129.25711
16,5,3-1-4-1-1-2-1-1-1-1-1-1-1-4-1-3,592.4548,129.25711
16,6,3-1-4-1-1-2-1-1-1-1-1-1-1-4-1-1,582.98804,120.60719
16,7,1-1-4-1-1-1-1-1-1-1-2-1-1-4-1-3,582.98804,120.60719
16,8,1-1-4-1-1-1-1-1-1-1-3-1-1-4-1-3,577.6586,116.47139
16,9,3-1-4-1-1-3-1-1-1-1-1-1-1-4-1-1,577.6586,116.47139
16,10,3-1-4-1-1-1-1-1-1-1-1-1-1-4-1-2,592.5603,131.49207
16,11,2-1-4-1-1-1-1-1-1-1-1-1-1-4-1-3,592.5603,131.49207
16,12,1-1-4-1-1-1-1-1-1-1-1-1-1-4-1-2,583.5183,122.73441
16,13,2-1-4-1-1-1-1-1-1-1-1-1-1-4-1-1,583.5183,122.73441
16,14,3-1-4-1-1-2-1-1-1-1-2-1-1-4-1-3,588.4318,129.20912
16,15,1-1-4-1-1-1-1-1-1-1-1-1-1-4-1-1,576.9009,117.84212
16,16,2-1-4-1-1-1-1-1-1-1-2-1-1-4-1-3,590.0303,131.47504
16,17,3-1-4-1-1-2-1-1-1-1-1-1-1-4-1-2,590.0303,131.47504
16,18,2-1-4-1-1-2-1-1-1-1-1-1-1-4-1-3,589.90466,131.48291
16,19,1-1-4-1-1-1-1-1-1-1-2-1-1-4-1-2,580.9883,122.78589
16,20,3-1-4-1-1-1-1-1-1-1-2-1-1-4-1-1,578.415,120.76358
16,21,1-1-4-1-1-2-1-1-1-1-1-1-1-4-1-3,578.415,120.76358
16,22,2-1-4-1-1-1-1-1-1-1-1-1-1-4-1-2,590.1358,133.53535
16,23,1-1-4-1-1-1-1-1-1-1-2-1-1-4-1-1,574.37085,118.11835
16,24,3-1-4-1-1-3-1-1-1-1-1-1-1-4-1-3,579.7904,124.393845
16,25,1-1-4-1-1-2-1-1-1-1-1-1-1-4-1-2,578.13934,122.94311
16,26,2-1-4-1-1-1-1-1-1-1-2-1-1-4-1-1,578.13934,122.94311
16,27,1-1-4-1-1-2-1-1-1-1-2-1-1-4-1-3,576.0019,120.8495
16,28,2-1-4-1-1-2-1-1-1-1-2-1-1-4-1-3,586.0371,131.4732
16,29,3-1-4-1-1-2-1-1-1-1-2-1-1-4-1-2,586.0371,131.4732
16,30,2-1-4-1-1-1-1-1-1-1-2-1-1-4-1-2,587.6058,133.53944
16,31,2-1-4-1-1-2-1-1-1-1-1-1-1-4-1-2,587.6058,133.53944
16,32,1-1-4-1-1-2-1-1-1-1-3-1-1-4-1-3,569.99756,116.772736
16,33,3-1-4-1-1-3-1-1-1-1-2-1-1-4-1-1,569.99756,116.772736
16,34,2-1-4-1-1-1-1-1-1-1-3-1-1-4-1-3,579.587,126.639984
16,35,1-1-4-1-1-2-1-1-1-1-2-1-1-4-1-1,570.57007,118.43295
16,36,3-1-4-1-1-3-1-1-1-1-2-1-1-4-1-3,576.55817,124.43914
16,37,1-1-4-1-1-2-1-1-1-1-2-1-1-4-1-2,574.6263,123.0329
16,38,3-1-4-1-1-3-1-1-1-1-2-1-1-4-1-2,576.35474,126.70484
16,39,2-1-4-1-1-2-1-1-1-1-3-1-1-4-1-3,576.35474,126.70484
16,40,2-1-4-1-1-3-1-1-1-1-2-1-1-4-1-1,568.3881,119.0033
16,41,2-1-4-1-1-3-1-1-1-1-1-1-1-4-1-3,575.6532,126.63387
16,42,3-1-4-1-1-1-1-1-1-1-3-1-1-4-1-2,575.6532,126.63387
16,43,1-1-4-1-1-1-1-1-1-1-3-1-1-4-1-1,563.6024,114.8296
16,44,1-1-4-1-1-3-1-1-1-1-1-1-1-4-1-1,563.6024,114.8296
16,45,3-1-4-1-1-1-1-1-1-1-1-1-1-3-1-3,559.64514,112.08589
16,46,3-1-3-1-1-1-1-1-1-1-1-1-1-4-1-3,559.64514,112.08589
16,47,3-1-4-1-1-1-1-3-1-1-1-1-1-4-1-1,571.882,124.38417
16,48,1-1-4-1-1-3-1-1-1-1-1-1-1-4-1-3,564.3611,117.184746
16,49,2-1-4-1-1-1-1-1-1-1-3-1-1-4-1-2,575.44977,128.72263
16,50,2-1-4-1-1-3-1-1-1-1-1-1-1-4-1-2,575.44977,128.72263
16,51,3-1-4-1-1-1-1-1-3-1-1-1-1-4-1-3,579.7861,133.10316
16,52,2-1-4-1-1-3-1-1-1-1-2-1-1-4-1-3,572.42096,126.7287
16,53,4-1-4-1-1-3-1-1-1-1-1-1-1-4-1-3,590.10535,144.58698
16,54,1-1-4-1-1-2-1-1-1-1-3-1-1-4-1-1,560.16077,115.196655
16,55,2-1-4-1-1-1-1-1-1-1-3-1-1-4-1-1,564.15765,119.4447
