Pos1,Pos2,Pos3,Pos4,Pos5,Pos6,Pos7,Pos8,Pos9,Pos10,Pos11,Pos12,Pos13,Pos14,Pos15,Pos16,target
4,0,0,0,0,1,0,0,1,0,4,3,0,0,0,0,-0.3009049440150093
0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,-0.181766468070126
4,2,0,4,2,0,3,1,0,0,0,0,0,0,0,0,-1.5789698840265314
0,0,2,0,0,2,4,0,0,1,0,0,0,0,0,0,-0.005942575314986072
4,0,0,2,2,1,0,0,0,0,0,1,0,3,0,0,-0.010784975934897065
0,0,0,0,2,0,0,1,0,0,1,0,0,0,3,1,0.16476754282359182
0,2,0,2,0,2,1,0,0,1,0,1,0,0,0,0,0.24434437673855666
0,1,2,0,0,0,0,0,0,0,0,3,4,0,0,0,-2.0767438736946295
0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,3,0.575491708797075
0,0,1,0,3,4,0,0,0,0,4,0,2,0,2,0,-0.03868509527306332
4,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0.7896677773017928
0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0.9729631480037327
0,0,0,0,1,0,0,0,0,0,4,4,1,1,0,3,-2.1640242518989345
2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.3251384398551678
2,0,0,3,0,0,3,0,3,0,2,0,0,0,0,0,-0.9542813061473892
1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,-0.1271439471842745
3,0,4,2,0,0,0,0,0,0,0,4,0,0,0,0,-0.6542104542457803
0,0,0,0,4,0,0,0,0,2,0,0,0,0,3,0,0.5656118811195482
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.2727452398309107
0,2,0,0,0,1,0,0,0,0,1,3,2,4,0,0,-0.26231238684221314
0,4,1,4,1,0,0,0,3,0,0,0,0,4,0,0,0.24988826780106446
0,0,0,0,0,2,0,0,4,0,4,0,3,0,1,0,-0.20031438939556362
0,0,2,0,0,0,0,0,0,2,4,0,0,0,0,0,-0.6974375350215538
0,0,1,0,0,0,1,0,2,3,0,0,2,0,0,0,0.23392784839912878
3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0.2483718994520882
0,2,0,0,0,3,0,0,3,0,0,0,1,4,0,0,1.0660225072787874
3,0,0,1,0,0,0,0,0,0,0,3,0,1,0,0,-0.09131124087992887
0,0,3,2,0,0,2,0,0,4,4,0,0,0,0,0,-1.2894871534928731
0,3,4,0,0,3,0,0,0,0,0,0,0,0,0,0,1.899150503911711
0,0,0,1,2,0,0,0,4,0,0,0,3,0,0,3,-1.2416210136155705
0,0,2,0,0,0,0,1,2,3,0,3,0,3,0,0,0.38642642802148797
2,4,0,0,1,0,0,2,0,0,0,0,1,0,0,1,-0.621333381164015
0,0,0,0,0,0,0,1,1,3,3,4,4,0,0,0,-2.4355222188439383
0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,2,-0.8187764836802311
3,0,4,2,0,0,0,2,4,4,0,0,0,0,0,0,-1.7304434409763028
1,0,0,0,2,0,0,0,0,0,0,0,4,4,0,2,-2.0298536219222765
0,0,0,0,0,0,2,2,2,0,0,4,0,0,4,1,-0.8446348727538985
0,1,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0.00712495192766155
0,2,2,0,0,4,0,0,0,1,0,0,0,2,0,0,1.7282854229059645
0,1,0,2,0,0,4,0,3,0,0,0,0,0,0,0,-0.27733924945901156
2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0.341618726000595
0,0,0,0,0,2,1,4,0,0,0,0,0,0,0,0,0.37714301840345443
4,0,0,0,0,0,1,0,0,0,3,0,4,0,0,0,0.2404816438057213
0,0,0,4,3,0,0,4,0,0,0,0,0,0,0,0,-1.7741679147598663
0,0,0,3,4,0,1,0,0,0,0,3,0,0,0,0,-1.2274438010607112
0,0,2,0,0,0,0,2,3,0,0,0,0,3,0,2,0.7998023488146168
4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0.5428890333776614
1,1,0,0,0,0,0,1,0,0,2,0,4,0,4,0,-0.03068523174503974
0,0,0,0,0,0,0,2,0,2,1,3,0,4,3,0,0.3710881278375024
0,3,0,0,0,0,0,2,1,0,0,2,2,0,0,0,-0.4180462887644816
0,0,0,0,0,1,4,2,0,4,2,0,0,1,0,0,-0.656547747832537
0,0,0,0,0,0,4,0,0,0,1,0,4,4,0,0,0.09858403613054106
3,4,0,3,0,1,0,0,0,4,0,0,0,0,4,0,0.6530570491045491
3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,-0.6583596795037711
3,0,0,0,4,4,0,0,4,0,0,4,0,0,4,0,-1.5693916670026646
0,0,0,0,0,1,4,0,0,0,0,0,4,0,0,4,-0.7078601106923831
4,0,0,3,0,0,0,0,0,3,0,2,2,1,0,0,-0.7662418039608161
0,4,0,0,0,0,3,0,1,0,0,0,0,2,0,0,1.4663860827283082
4,4,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0.09608497642878867
1,0,3,0,0,1,0,0,0,0,4,0,3,0,1,0,-0.3590643978544302
0,0,4,0,3,0,0,0,4,4,0,0,0,4,0,3,0.12205221746768677
4,0,0,0,3,0,2,2,0,0,0,0,0,1,3,0,0.4186503893118699
4,3,0,1,0,0,0,0,0,0,1,0,0,0,0,1,-1.2620972777417252
0,2,0,1,0,0,3,0,0,0,1,3,4,0,0,0,-1.7468422919048616
3,1,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0.7506708048415086
2,1,0,0,2,0,0,2,1,0,1,0,0,0,0,0,-0.5309386272878348
0,1,0,3,0,0,0,4,0,0,0,3,1,0,2,0,-0.4106224335524701
0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,1.4673544116690056
0,4,0,0,0,0,3,0,0,0,0,0,0,0,1,0,1.3857426507373682
0,0,2,1,4,0,0,0,0,0,0,2,0,0,0,0,-0.5072482065216766
0,1,0,0,3,0,0,0,0,2,1,0,0,4,0,0,0.20681690580888432
0,4,0,0,0,0,1,0,0,2,0,0,0,0,1,3,0.35539983834864364
0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1.0703690267237584
0,0,4,0,0,0,0,0,3,0,0,0,0,1,1,3,0.9644794979635735
0,0,0,0,0,0,3,1,0,2,4,4,0,0,0,0,-1.6725908892055186
0,3,0,4,0,0,0,2,0,0,4,0,0,0,0,0,0.6153579851463536
0,0,1,3,3,0,0,0,0,3,0,4,0,0,0,1,-1.8703983434386866
0,0,0,0,0,0,0,4,0,2,0,3,0,0,0,0,0.033412701530850054
0,0,0,0,0,4,0,0,1,0,0,0,0,2,0,0,0.5144658198732484
0,0,0,4,4,0,0,0,0,0,2,0,0,0,0,2,-2.6578916654815345
0,0,1,0,2,0,0,0,3,0,0,0,0,0,0,0,0.5789530501081228
0,3,4,3,0,0,0,0,0,0,0,0,3,4,3,0,0.7464066802868847
3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0.026643469943071943
0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0.4870116912259576
0,1,0,2,0,0,0,4,3,3,0,0,0,0,0,0,-0.8865428793676765
0,3,0,3,0,1,4,0,0,0,0,2,2,0,0,0,-1.561394071223917
0,0,4,0,4,0,3,0,4,1,0,0,0,0,0,0,0.1734159826444473
0,0,0,4,3,0,0,4,0,0,1,0,0,3,0,2,-2.192494332221711
0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0.45984178715454677
3,0,0,0,3,0,0,0,3,4,0,2,3,0,0,0,-1.812469444108956
0,2,3,0,0,0,3,1,0,0,0,0,2,0,0,1,-0.39504753152739314
0,1,0,0,1,0,0,2,0,0,0,4,3,0,0,1,-2.934518525371605
1,0,0,0,4,4,0,0,0,4,4,0,0,0,4,0,-2.1809817250657257
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4314340190593353
0,0,4,0,3,0,2,0,0,0,0,0,0,0,0,0,0.5636336478347671
0,0,0,0,0,0,0,0,0,4,4,0,0,4,0,0,-1.879899456987182
3,0,0,4,1,2,0,0,0,0,0,0,0,0,0,0,-1.548710549525277
0,0,0,0,0,4,0,0,0,0,0,1,4,0,3,1,-1.5073951813888655
0,0,0,0,1,0,0,4,3,0,0,0,0,0,0,0,-0.19022592878467853
