Pos1,Pos2,Pos3,Pos4,Pos5,Pos6,Pos7,Pos8,Pos9,Pos10,Pos11,Pos12,Pos13,Pos14,Pos15,Pos16,target
1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,-1.0170947190356252
3,0,4,2,0,0,0,0,0,0,0,4,0,0,0,0,0.6674165938832823
0,0,0,0,4,0,0,0,0,2,0,0,0,0,3,0,-0.49668960810535484
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1.4342194310274248
0,2,0,0,0,1,0,0,0,0,1,3,2,4,0,0,0.3519710343347802
0,4,1,4,1,0,0,0,3,0,0,0,0,4,0,0,0.1462108597054277
0,0,0,0,0,2,0,0,4,0,4,0,3,0,1,0,0.19184638481777394
0,0,2,0,0,0,0,0,0,2,4,0,0,0,0,0,-0.11479231900729633
0,0,1,0,0,0,1,0,2,3,0,0,2,0,0,0,-0.5103002033143016
3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0.48807698642423464
0,2,0,0,0,3,0,0,3,0,0,0,1,4,0,0,-0.1284029142162386
3,0,0,1,0,0,0,0,0,0,0,3,0,1,0,0,-0.1780415555665109
0,0,3,2,0,0,2,0,0,4,4,0,0,0,0,0,1.0076814741069207
0,3,4,0,0,3,0,0,0,0,0,0,0,0,0,0,-0.472670910677803
0,0,0,1,2,0,0,0,4,0,0,0,3,0,0,3,0.6722203333687927
0,0,2,0,0,0,0,1,2,3,0,3,0,3,0,0,0.23027630070185234
2,4,0,0,1,0,0,2,0,0,0,0,1,0,0,1,0.30073114648933474
0,0,0,0,0,0,0,1,1,3,3,4,4,0,0,0,1.2895008572568503
0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,2,-0.004306310840562377
3,0,4,2,0,0,0,2,4,4,0,0,0,0,0,0,2.0292767380254197
1,0,0,0,2,0,0,0,0,0,0,0,4,4,0,2,0.9916690091552164
0,0,0,0,0,0,2,2,2,0,0,4,0,0,4,1,1.139784309958449
0,1,0,0,4,0,0,0,0,0,4,0,0,0,0,0,-0.603973123281747
0,2,2,0,0,4,0,0,0,1,0,0,0,2,0,0,-0.6640198668506244
0,1,0,2,0,0,4,0,3,0,0,0,0,0,0,0,-0.14921911865345322
2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,-0.12920353746382746
0,0,0,0,0,2,1,4,0,0,0,0,0,0,0,0,-0.4102222973661727
4,0,0,0,0,0,1,0,0,0,3,0,4,0,0,0,0.25829811436733024
0,0,0,4,3,0,0,4,0,0,0,0,0,0,0,0,0.36317975980096956
0,0,0,3,4,0,1,0,0,0,0,3,0,0,0,0,0.67542282635913
0,0,2,0,0,0,0,2,3,0,0,0,0,3,0,2,0.6169773292854258
4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,-0.055546198686003294
1,1,0,0,0,0,0,1,0,0,2,0,4,0,4,0,0.03572485153868919
0,0,0,0,0,0,0,2,0,2,1,3,0,4,3,0,0.7418745559086908
0,3,0,0,0,0,0,2,1,0,0,2,2,0,0,0,0.3655816295437225
0,0,0,0,0,1,4,2,0,4,2,0,0,1,0,0,1.0100833438496737
0,0,0,0,0,0,4,0,0,0,1,0,4,4,0,0,-0.17644030907134228
3,4,0,3,0,1,0,0,0,4,0,0,0,0,4,0,1.0837406826274978
3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,-0.15322223489137474
3,0,0,0,4,4,0,0,4,0,0,4,0,0,4,0,1.6657937836218142
0,0,0,0,0,1,4,0,0,0,0,0,4,0,0,4,0.9276191493484176
4,0,0,3,0,0,0,0,0,3,0,2,2,1,0,0,0.9740552977083481
0,4,0,0,0,0,3,0,1,0,0,0,0,2,0,0,-0.2268795736691989
4,4,0,0,0,4,0,0,0,0,0,0,0,1,0,0,1.319924540665081
1,0,3,0,0,1,0,0,0,0,4,0,3,0,1,0,-0.5399232634749481
0,0,4,0,3,0,0,0,4,4,0,0,0,4,0,3,1.2078372860031785
4,0,0,0,3,0,2,2,0,0,0,0,0,1,3,0,0.9820615301842003
4,3,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0.7442764256514437
0,2,0,1,0,0,3,0,0,0,1,3,4,0,0,0,0.46646015873944024
3,1,0,0,0,0,0,0,0,2,0,0,0,3,0,0,-0.3429699445690275
2,1,0,0,2,0,0,2,1,0,1,0,0,0,0,0,0.6393947802178045
0,1,0,3,0,0,0,4,0,0,0,3,1,0,2,0,0.21426383575015262
0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,-0.8065308049207623
0,4,0,0,0,0,3,0,0,0,0,0,0,0,1,0,-0.6504092716416822
